"url","id","company_name","company_socials","year_founded","status","employees","latest_deal_type","financing_rounds","investments","description","contact_information","patents","competitors","research_analysis","patent_activity","all_investments","faq","latest_deal_amount","latest_deal_amount_value","latest_deal_date"
"https://pitchbook.com/profiles/company/100017-37","100017-37","BRNova Sistemas Nutriconais",,2012,"Acquired/​Merged",100,"M&A",1,,"Producer of animal nutritional feeds. The company supplies and produces premixes and animal health products for broilers, layers, swine and dairy cows.","[{""Type"":""Website"",""value"":""www.brnova.com.br""},{""Type"":""Ownership Status"",""value"":""Acquired/Merged""},{""Type"":""Financing Status"",""value"":""Corporate Backed or Acquired""},{""Type"":""Corporate Office"",""value"":""Rua Orlando Geraldelli, 4 - Galpão nº 2, Hortolandia, 13185, Brazil""},{""Type"":""Primary Industry"",""value"":""Food Products""},{""Type"":""Other Industries"",""value"":""Other Consumer Non-Durables""},{""Type"":""Acquirer"",""value"":null},{""Type"":""Corporate Office"",""value"":""Rua Orlando Geraldelli, 4 - Galpão nº 2, Hortolandia, 13185, Brazil""}]",,,,,,"[{""type"":""Question"",""value"":""When was BRNova Sistemas Nutriconais founded?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais was founded in 2012.""},{""type"":""Question"",""value"":""Where is BRNova Sistemas Nutriconais headquartered?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais is headquartered in Hortolandia, Brazil.""},{""type"":""Question"",""value"":""What is the size of BRNova Sistemas Nutriconais?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais has 100 total employees.""},{""type"":""Question"",""value"":""What industry is BRNova Sistemas Nutriconais in?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais’s primary industry is Food Products.""},{""type"":""Question"",""value"":""Is BRNova Sistemas Nutriconais a private or public company?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais is a Private company.""},{""type"":""Question"",""value"":""What is BRNova Sistemas Nutriconais’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for BRNova Sistemas Nutriconais is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""When was BRNova Sistemas Nutriconais acquired?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais was acquired on 01-Dec-2014.""},{""type"":""Question"",""value"":""Who acquired BRNova Sistemas Nutriconais?""},{""type"":""Answer"",""value"":""BRNova Sistemas Nutriconais was acquired by <a href=\""https://pitchbook.com/profiles/company/54884-98\"" target=\""_blank\"" class=\""font-underline\"">Nutreco</a>.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/company/100102-96","100102-96","ShapeMed",,2007,"Acquired/​Merged",,"M&A",1,,"Operator of non-surgical aesthetics clinics. The company provides wellness, non-surgical aesthetics clinics and managed care services for men and women across Atlanta.","[{""Type"":""Website"",""value"":""www.shapemed.com""},{""Type"":""Ownership Status"",""value"":""Acquired/Merged""},{""Type"":""Financing Status"",""value"":""Corporate Backed or Acquired""},{""Type"":""Corporate Office"",""value"":""4920 Rosewell Road NorthEast, Suite36, Atlanta, GA 30342, United States""},{""Type"":""Primary Industry"",""value"":""Clinics/Outpatient Services""},{""Type"":""Acquirer"",""value"":null},{""Type"":""Vertical(s)"",""value"":null},{""Type"":""Corporate Office"",""value"":""4920 Rosewell Road NorthEast, Suite36, Atlanta, GA 30342, United States""}]",,,"[{""date"":""2022-03-08T00:00:00.000Z"",""link"":""https://pitchbook.com/news/reports/2021-annual-retail-healthtech-report"",""title"":""Retail Healthtech Report""}]",,,"[{""type"":""Question"",""value"":""When was ShapeMed founded?""},{""type"":""Answer"",""value"":""ShapeMed was founded in 2007.""},{""type"":""Question"",""value"":""Where is ShapeMed headquartered?""},{""type"":""Answer"",""value"":""ShapeMed is headquartered in Atlanta, GA.""},{""type"":""Question"",""value"":""What industry is ShapeMed in?""},{""type"":""Answer"",""value"":""ShapeMed’s primary industry is Clinics/Outpatient Services.""},{""type"":""Question"",""value"":""Is ShapeMed a private or public company?""},{""type"":""Answer"",""value"":""ShapeMed is a Private company.""},{""type"":""Question"",""value"":""What is ShapeMed’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for ShapeMed is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""When was ShapeMed acquired?""},{""type"":""Answer"",""value"":""ShapeMed was acquired on 03-Dec-2014.""},{""type"":""Question"",""value"":""Who acquired ShapeMed?""},{""type"":""Answer"",""value"":""ShapeMed was acquired by <a href=\""https://pitchbook.com/profiles/company/12005-92\"" target=\""_blank\"" class=\""font-underline\"">Life Time Group Holdings</a>.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/company/100387-45","100387-45","UMPO",,1925,"Out of Business",23000,"Out of Business",6,2,"Producer of aircraft engines based in Ufa, Russia. The company is engaged in the development, production, and after-sales service of gas-turbine engines for military aircraft.","[{""Type"":""Website"",""value"":""www.umpo.ru""},{""Type"":""Ownership Status"",""value"":""Out of Business""},{""Type"":""Financing Status"",""value"":""Corporate Backed or Acquired""},{""Type"":""Corporate Office"",""value"":""Ferin str., 2, Ufa, 450039, Russia""},{""Type"":""Primary Industry"",""value"":""Aerospace and Defense""},{""Type"":""Vertical(s)"",""value"":null},{""Type"":""Corporate Office"",""value"":""Ferin str., 2, Ufa, 450039, Russia""}]",,,,,"[{""company_name"":""Research & Production Enterprise Motor"",""company_url"":""https://pitchbook.com/profiles/company/162448-48"",""deal_date"":""2016-07-15T00:00:00.000Z"",""deal_size"":null,""deal_type"":""Merger/Acquisition"",""industry"":""Aerospace and Defense""},{""company_name"":""Ufimskiy Mashinostroitelnyi Zavod"",""company_url"":""https://pitchbook.com/profiles/company/99559-00"",""deal_date"":""2013-02-01T00:00:00.000Z"",""deal_size"":null,""deal_type"":""Corporate"",""industry"":""Other Commercial Services""}]","[{""type"":""Question"",""value"":""When was UMPO founded?""},{""type"":""Answer"",""value"":""UMPO was founded in 1925.""},{""type"":""Question"",""value"":""Where is UMPO headquartered?""},{""type"":""Answer"",""value"":""UMPO is headquartered in Ufa, Russia.""},{""type"":""Question"",""value"":""What is the size of UMPO?""},{""type"":""Answer"",""value"":""UMPO has 23,000 total employees.""},{""type"":""Question"",""value"":""What industry is UMPO in?""},{""type"":""Answer"",""value"":""UMPO’s primary industry is Aerospace and Defense.""},{""type"":""Question"",""value"":""Is UMPO a private or public company?""},{""type"":""Answer"",""value"":""UMPO is a Private company.""},{""type"":""Question"",""value"":""What is UMPO’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for UMPO is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""How much funding has UMPO raised over time?""},{""type"":""Answer"",""value"":""UMPO has raised $372K.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/advisor/100475-47","100475-47","Palm Tree","[{""domain"":""www.linkedin.com"",""link"":""https://www.linkedin.com/company/palm-tree-llc""}]",2010,,134,,,,"Founded in 2010, Palm Tree is an Investment bank headquartered in Los Angeles City, California. The firm provides integrated investment banking, transaction support, and strategic financial services that power strategic events and drive business. The analytical intelligence it delivers enables businesses to prepare for and execute transactions, transitions, and transformations. Palm Tree was born out of private equity and its team comes from private equity, Big-4 accounting, investment banking, and business operations experience. Its processes and deliverables enable clients to make critical business decisions and to realize outcomes in strategic events. Securities products and services are offered through Palm Tree Securities LLC, a member of FINRA, and SIPC.","[{""Type"":""Website"",""value"":""www.palmtreellc.com""},{""Type"":""Year Founded"",""value"":""2010""},{""Type"":""Service Provider Type"",""value"":""Investment Bank""},{""Type"":""Corporate Office"",""value"":""11755 Wilshire Boulevard, Suite 2300, Los Angeles, CA 90025, United States""}]",,,,,,"[{""type"":""Question"",""value"":""When was Palm Tree founded?""},{""type"":""Answer"",""value"":""Palm Tree was founded in 2010.""},{""type"":""Question"",""value"":""Where is Palm Tree headquartered?""},{""type"":""Answer"",""value"":""Palm Tree is headquartered in Los Angeles, CA.""},{""type"":""Question"",""value"":""What is the size of Palm Tree?""},{""type"":""Answer"",""value"":""Palm Tree total number of employees/professionals is 134.""},{""type"":""Question"",""value"":""What service provider type is Palm Tree?""},{""type"":""Answer"",""value"":""Palm Tree's service provider type is Investment Bank.""},{""type"":""Question"",""value"":""What companies has Palm Tree invested in or acquired?""},{""type"":""Answer"",""value"":""Palm Tree has invested in or acquired <a href=\""https://pitchbook.com/profiles/advisor/53539-39\"" target=\""_blank\"" class=\""font-underline\"">Backbone Capital Advisors</a>.""},{""type"":""Question"",""value"":""What are Palm Tree subsidiaries?""},{""type"":""Answer"",""value"":""<a href=\""https://pitchbook.com/profiles/advisor/53539-39\"" target=\""_blank\"" class=\""font-underline\"">Backbone Capital Advisors</a> is a subsidiary of Palm Tree.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/company/1009048-96","1009048-96","MSC Manufacturing",,1965,"Acquired/​Merged",,"M&A",1,,"Manufacturer of cutting machines for sheet materials and coil materials. The company specializes in metal, resin and overlapping materials that feature webbing cutting-creating, renovating and renewing shear cutting machines for shear lines.","[{""Type"":""Website"",""value"":""www.mscmfg.co.jp""},{""Type"":""Ownership Status"",""value"":""Acquired/Merged <br>(Operating Subsidiary)""},{""Type"":""Financing Status"",""value"":""Corporate Backed or Acquired""},{""Type"":""Corporate Office"",""value"":""2-1076, Saitama Prefecture, Yashio City, 340-0811, Japan""},{""Type"":""Primary Industry"",""value"":""Machinery (B2B)""},{""Type"":""Other Industries"",""value"":""Other Commercial Products""},{""Type"":""Parent Company"",""value"":null},{""Type"":""Vertical(s)"",""value"":null},{""Type"":""Corporate Office"",""value"":""2-1076, Saitama Prefecture, Yashio City, 340-0811, Japan""}]",,,,,,"[{""type"":""Question"",""value"":""When was MSC Manufacturing founded?""},{""type"":""Answer"",""value"":""MSC Manufacturing was founded in 1965.""},{""type"":""Question"",""value"":""Where is MSC Manufacturing headquartered?""},{""type"":""Answer"",""value"":""MSC Manufacturing is headquartered in Yashio City, Japan.""},{""type"":""Question"",""value"":""What industry is MSC Manufacturing in?""},{""type"":""Answer"",""value"":""MSC Manufacturing’s primary industry is Machinery (B2B).""},{""type"":""Question"",""value"":""Is MSC Manufacturing a private or public company?""},{""type"":""Answer"",""value"":""MSC Manufacturing is a Private company.""},{""type"":""Question"",""value"":""What is MSC Manufacturing’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for MSC Manufacturing is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""When was MSC Manufacturing acquired?""},{""type"":""Answer"",""value"":""MSC Manufacturing was acquired on 01-Jun-2021.""},{""type"":""Question"",""value"":""Who acquired MSC Manufacturing?""},{""type"":""Answer"",""value"":""MSC Manufacturing was acquired by <a href=\""https://pitchbook.com/profiles/company/506716-66\"" target=\""_blank\"" class=\""font-underline\"">Next Generation Technology Group</a>.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/company/100999-09","100999-09","Button Brew House","[{""domain"":""www.facebook.com"",""link"":""https://www.facebook.com/buttonbrewhouse""},{""domain"":""twitter.com"",""link"":""https://twitter.com/buttonbrewhouse""},{""domain"":""www.linkedin.com"",""link"":""https://www.linkedin.com/company/button-brew-house-llc""}]",2013,"Private",,"Debt",,,"Owner and operator of a microbrewery. The company offers craft beers and micro-brewed beers for the local community in Tucson, Arizona.","[{""Type"":""Website"",""value"":""www.buttonbrewhouse.com""},{""Type"":""Ownership Status"",""value"":""Privately Held (backing)""},{""Type"":""Financing Status"",""value"":""Private Debt Financed""},{""Type"":""Corporate Office"",""value"":""6800 North Camino Martin, Suite. 160, Tucson, AZ 85741, United States""},{""Type"":""Primary Industry"",""value"":""Beverages""},{""Type"":""Corporate Office"",""value"":""6800 North Camino Martin, Suite. 160, Tucson, AZ 85741, United States""}]",,,,,,"[{""type"":""Question"",""value"":""When was Button Brew House founded?""},{""type"":""Answer"",""value"":""Button Brew House was founded in 2013.""},{""type"":""Question"",""value"":""Where is Button Brew House headquartered?""},{""type"":""Answer"",""value"":""Button Brew House is headquartered in Tucson, AZ.""},{""type"":""Question"",""value"":""What industry is Button Brew House in?""},{""type"":""Answer"",""value"":""Button Brew House’s primary industry is Beverages.""},{""type"":""Question"",""value"":""Is Button Brew House a private or public company?""},{""type"":""Answer"",""value"":""Button Brew House is a Private company.""},{""type"":""Question"",""value"":""What is Button Brew House’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for Button Brew House is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""How much funding has Button Brew House raised over time?""},{""type"":""Answer"",""value"":""Button Brew House has raised $150K.""}]","$150K","{""currency"":""$"",""value"":150000}","2017-02-10T00:00:00.000Z"
"https://pitchbook.com/profiles/company/101820-07","101820-07","Freudenberg IT","[{""domain"":""www.facebook.com"",""link"":""https://www.facebook.com/login.php?next=https://m.facebook.com/FreudenbergITde&refsrc=deprecated&_rdr""},{""domain"":""twitter.com"",""link"":""https://twitter.com/FreudenbergITde""},{""domain"":""www.linkedin.com"",""link"":""https://www.linkedin.com/company/freudenberg-it-se-&-co-kg""}]",1995,"Acquired/​Merged",850,"Buyout/​LBO",1,,"Provider of managed IT services based in Weinheim, Germany. The company offers cloud and business analytics hosting, software maintenance, system migration, hybrid cloud-based and managed cloud services to midsize and large enterprise, enabling organizations to optimize mission-critical technology that runs their businesses, using SAP applications.","[{""Type"":""Website"",""value"":""www.freudenberg-it.com""},{""Type"":""Ownership Status"",""value"":""Acquired/Merged""},{""Type"":""Financing Status"",""value"":""Private Equity-Backed""},{""Type"":""Corporate Office"",""value"":""Höhnerweg 2-4, 69469 Weinheim, Germany""},{""Type"":""Primary Industry"",""value"":""IT Consulting and Outsourcing""},{""Type"":""Acquirer"",""value"":null},{""Type"":""Vertical(s)"",""value"":null},{""Type"":""Corporate Office"",""value"":""Höhnerweg 2-4, 69469 Weinheim, Germany""}]",,"[{""company_name"":""Cloparkles"",""financing_status"":""Corporation"",""link"":""https://pitchbook.com/undefined"",""location"":""Patna, India""},{""company_name"":""Natural Computing"",""financing_status"":""Corporation"",""link"":""https://pitchbook.com/undefined"",""location"":""Lima, Peru""},{""company_name"":""Tashmiyah"",""financing_status"":""Corporation"",""link"":""https://pitchbook.com/undefined"",""location"":""Andover, United Kingdom""},{""company_name"":""Virtually Visual"",""financing_status"":""Corporation"",""link"":""https://pitchbook.com/undefined"",""location"":""Bury St. Edmunds, United Kingdom""},{""company_name"":""Netfruit Technologies"",""financing_status"":""Corporation"",""link"":""https://pitchbook.com/undefined"",""location"":""Harrow, United Kingdom""}]","[{""date"":""2025-12-18T00:00:00.000Z"",""link"":""https://pitchbook.com/news/reports/q3-2025-infrastructure-saas-vc-trends"",""title"":""Infrastructure SaaS VC Trends""},{""date"":""2022-08-22T00:00:00.000Z"",""link"":""https://pitchbook.com/news/reports/2022-vertical-snapshot-the-metaverse"",""title"":""Vertical Snapshot: The Metaverse""}]",,,"[{""type"":""Question"",""value"":""When was Freudenberg IT founded?""},{""type"":""Answer"",""value"":""Freudenberg IT was founded in 1995.""},{""type"":""Question"",""value"":""Where is Freudenberg IT headquartered?""},{""type"":""Answer"",""value"":""Freudenberg IT is headquartered in Weinheim, Germany.""},{""type"":""Question"",""value"":""What is the size of Freudenberg IT?""},{""type"":""Answer"",""value"":""Freudenberg IT has 850 total employees.""},{""type"":""Question"",""value"":""What industry is Freudenberg IT in?""},{""type"":""Answer"",""value"":""Freudenberg IT’s primary industry is IT Consulting and Outsourcing.""},{""type"":""Question"",""value"":""Is Freudenberg IT a private or public company?""},{""type"":""Answer"",""value"":""Freudenberg IT is a Private company.""},{""type"":""Question"",""value"":""What is Freudenberg IT’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for Freudenberg IT is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""Who are Freudenberg IT’s investors?""},{""type"":""Answer"",""value"":""Freudenberg has invested in Freudenberg IT.""},{""type"":""Question"",""value"":""Who are Freudenberg IT’s competitors?""},{""type"":""Answer"",""value"":""Cloparkles, Natural Computing, Tashmiyah, Virtually Visual, and Netfruit Technologies are some of the 49 competitors of Freudenberg IT.""},{""type"":""Question"",""value"":""When was Freudenberg IT acquired?""},{""type"":""Answer"",""value"":""Freudenberg IT was acquired on 28-Feb-2019.""},{""type"":""Question"",""value"":""Who acquired Freudenberg IT?""},{""type"":""Answer"",""value"":""Freudenberg IT was acquired by <a href=\""https://pitchbook.com/profiles/company/55150-12\"" target=\""_blank\"" class=\""font-underline\"">Syntax Systems</a>.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/company/1020369-25","1020369-25","The Infrastructure Group",,,"Private",,"Joint Venture",1,,"Operator of large-scale infrastructure projects based in Queensland, Australia.","[{""Type"":""Ownership Status"",""value"":""Privately Held (backing)""},{""Type"":""Financing Status"",""value"":""Corporate Backed or Acquired""},{""Type"":""Corporate Office"",""value"":""Queensland, Australia""},{""Type"":""Primary Industry"",""value"":""Infrastructure""},{""Type"":""Other Industries"",""value"":""Construction and Engineering""},{""Type"":""Vertical(s)"",""value"":null},{""Type"":""Corporate Office"",""value"":""Queensland, Australia""}]",,,,,,"[{""type"":""Question"",""value"":""Where is The Infrastructure Group headquartered?""},{""type"":""Answer"",""value"":""The Infrastructure Group is headquartered in Australia.""},{""type"":""Question"",""value"":""What industry is The Infrastructure Group in?""},{""type"":""Answer"",""value"":""The Infrastructure Group’s primary industry is Infrastructure.""},{""type"":""Question"",""value"":""Is The Infrastructure Group a private or public company?""},{""type"":""Answer"",""value"":""The Infrastructure Group is a Private company.""},{""type"":""Question"",""value"":""What is The Infrastructure Group’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for The Infrastructure Group is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""Who are The Infrastructure Group’s investors?""},{""type"":""Answer"",""value"":""Albem Operations, <a href=\""https://pitchbook.com/profiles/company/501044-77\"" target=\""_blank\"" class=\""font-underline\"">Bielby Holdings</a>, BMD Constructions, and JF Hull Holdings have invested in The Infrastructure Group.""}]",,"{""value"":null}",
"https://pitchbook.com/profiles/company/103224-97","103224-97","Weixinhai","[{""domain"":""twitter.com"",""link"":""https://twitter.com/weixinhai""}]",2012,"Private",,"Early Stage VC",,,"Provider of a mobile application for businesses. The company helps businesses build presence on WeChat. It also develops features for their accounts, such as setting up a storefront with payments supported by WeChat Payment.","[{""Type"":""Website"",""value"":""www.weixinhai.com""},{""Type"":""Ownership Status"",""value"":""Privately Held (backing)""},{""Type"":""Financing Status"",""value"":""Venture Capital-Backed""},{""Type"":""Corporate Office"",""value"":""Caoxibeilu 88 Divine Love Square 1801, Shanghai, China""},{""Type"":""Primary Industry"",""value"":""Media and Information Services (B2B)""},{""Type"":""Vertical(s)"",""value"":null},{""Type"":""Corporate Office"",""value"":""Caoxibeilu 88 Divine Love Square 1801, Shanghai, China""}]",,,"[{""date"":""2022-08-22T00:00:00.000Z"",""link"":""https://pitchbook.com/news/reports/2022-vertical-snapshot-the-metaverse"",""title"":""Vertical Snapshot: The Metaverse""}]",,,"[{""type"":""Question"",""value"":""When was Weixinhai founded?""},{""type"":""Answer"",""value"":""Weixinhai was founded in 2012.""},{""type"":""Question"",""value"":""Where is Weixinhai headquartered?""},{""type"":""Answer"",""value"":""Weixinhai is headquartered in Shanghai, China.""},{""type"":""Question"",""value"":""What industry is Weixinhai in?""},{""type"":""Answer"",""value"":""Weixinhai’s primary industry is Media and Information Services (B2B).""},{""type"":""Question"",""value"":""Is Weixinhai a private or public company?""},{""type"":""Answer"",""value"":""Weixinhai is a Private company.""},{""type"":""Question"",""value"":""What is Weixinhai’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for Weixinhai is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""How much funding has Weixinhai raised over time?""},{""type"":""Answer"",""value"":""Weixinhai has raised $13M.""},{""type"":""Question"",""value"":""Who are Weixinhai’s investors?""},{""type"":""Answer"",""value"":""<a href=\""https://pitchbook.com/profiles/investor/227491-48\"" target=\""_blank\"" class=\""font-underline\"">Zheshang Venture Capital</a> has invested in Weixinhai.""}]","$13M","{""currency"":""$"",""value"":13000000}","2014-04-25T00:00:00.000Z"
"https://pitchbook.com/profiles/company/10329-04","10329-04","Beard Miller Company",,2001,"Acquired/​Merged",,"M&A",2,2,"Provider of accounting and auditing services. The company provides business advisory, tax service, audit and accounting services to small businesses, middle market companies, nonprofits and SEC registrants.","[{""Type"":""Website"",""value"":""www.beardmiller.com""},{""Type"":""Formerly Known As"",""value"":""Reading based Beard & Company, Beard & Company""},{""Type"":""Ownership Status"",""value"":""Acquired/Merged""},{""Type"":""Financing Status"",""value"":""Corporate Backed or Acquired""},{""Type"":""Corporate Office"",""value"":""P.O. Box 311, Reading, PA 19603, United States""},{""Type"":""Primary Industry"",""value"":""Accounting, Audit and Tax Services (B2B)""},{""Type"":""Acquirer"",""value"":null},{""Type"":""Corporate Office"",""value"":""P.O. Box 311, Reading, PA 19603, United States""}]",,,,,"[{""company_name"":""Edwards, Sauer & Owens"",""company_url"":""https://pitchbook.com/profiles/company/125664-67"",""deal_date"":""2008-01-01T00:00:00.000Z"",""deal_size"":null,""deal_type"":""Merger/Acquisition"",""industry"":""Accounting, Audit and Tax Services (B2B)""},{""company_name"":""Dennis M. Spinelli CPA"",""company_url"":""https://pitchbook.com/profiles/company/150042-70"",""deal_date"":""2007-01-05T00:00:00.000Z"",""deal_size"":null,""deal_type"":""Merger/Acquisition"",""industry"":""Accounting, Audit and Tax Services (B2B)""}]","[{""type"":""Question"",""value"":""When was Beard Miller Company founded?""},{""type"":""Answer"",""value"":""Beard Miller Company was founded in 2001.""},{""type"":""Question"",""value"":""Where is Beard Miller Company headquartered?""},{""type"":""Answer"",""value"":""Beard Miller Company is headquartered in Reading, PA.""},{""type"":""Question"",""value"":""What industry is Beard Miller Company in?""},{""type"":""Answer"",""value"":""Beard Miller Company’s primary industry is Accounting, Audit and Tax Services (B2B).""},{""type"":""Question"",""value"":""Is Beard Miller Company a private or public company?""},{""type"":""Answer"",""value"":""Beard Miller Company is a Private company.""},{""type"":""Question"",""value"":""What is Beard Miller Company’s current revenue?""},{""type"":""Answer"",""value"":""The current revenue for Beard Miller Company is <i></i><i></i><i></i><i></i>.""},{""type"":""Question"",""value"":""When was Beard Miller Company acquired?""},{""type"":""Answer"",""value"":""Beard Miller Company was acquired on 01-Oct-2009.""},{""type"":""Question"",""value"":""Who acquired Beard Miller Company?""},{""type"":""Answer"",""value"":""Beard Miller Company was acquired by Parente Randolph.""}]",,"{""value"":null}",
